epic,resolution,t,datetime,open,high,low,close,spread
GBPUSD,MINUTE,1744218180000,2025-04-09 19:03:00,1.276075,1.276075,1.2751649999999999,1.2760150000000001,0.00013000000000018552
GBPUSD,MINUTE,1744218240000,2025-04-09 19:04:00,1.276025,1.276465,1.276025,1.2762850000000001,0.00013000000000018552
GBPUSD,MINUTE,1744218300000,2025-04-09 19:05:00,1.276275,1.276315,1.275535,1.275985,0.00012999999999996348
GBPUSD,MINUTE,1744218360000,2025-04-09 19:06:00,1.275975,1.276055,1.275625,1.275855,0.00012999999999996348
GBPUSD,MINUTE,1744218420000,2025-04-09 19:07:00,1.275875,1.275955,1.275465,1.2756750000000001,0.00013000000000018552
GBPUSD,MINUTE,1744218480000,2025-04-09 19:08:00,1.275635,1.275635,1.275215,1.275415,0.00012999999999996348
GBPUSD,MINUTE,1744218540000,2025-04-09 19:09:00,1.275425,1.275495,1.2751649999999999,1.275225,0.00012999999999996348
GBPUSD,MINUTE,1744218600000,2025-04-09 19:10:00,1.275195,1.275425,1.274845,1.274935,0.00012999999999996348
GBPUSD,MINUTE,1744218660000,2025-04-09 19:11:00,1.274925,1.274965,1.274735,1.274815,0.00012999999999996348
GBPUSD,MINUTE,1744218720000,2025-04-09 19:12:00,1.2748249999999999,1.275105,1.274665,1.275105,0.00012999999999996348
