epic,resolution,t,datetime,open,high,low,close,volume
GBPUSD,MINUTE,1744301700000.0,2025-04-10 16:15:00,1.291055,1.291275,1.290845,1.291075,195
GBPUSD,MINUTE,1744301760000.0,2025-04-10 16:16:00,1.291085,1.291375,1.290955,1.291115,199
GBPUSD,MINUTE,1744301820000.0,2025-04-10 16:17:00,1.291105,1.291175,1.290805,1.291155,172
GBPUSD,MINUTE,1744301880000.0,2025-04-10 16:18:00,1.291145,1.291885,1.291075,1.2916750000000001,223
GBPUSD,MINUTE,1744301940000.0,2025-04-10 16:19:00,1.291655,1.2916750000000001,1.291225,1.291355,164
GBPUSD,MINUTE,1744302000000.0,2025-04-10 16:20:00,1.291345,1.292025,1.2913350000000001,1.291815,199
GBPUSD,MINUTE,1744302060000.0,2025-04-10 16:21:00,1.291825,1.292105,1.2916750000000001,1.291995,179
GBPUSD,MINUTE,1744302120000.0,2025-04-10 16:22:00,1.291985,1.292195,1.291775,1.291865,147
GBPUSD,MINUTE,1744302180000.0,2025-04-10 16:23:00,1.291875,1.292365,1.291855,1.292265,204
GBPUSD,MINUTE,1744302240000.0,2025-04-10 16:24:00,1.292245,1.292245,1.291925,1.292085,170
GBPUSD,MINUTE,1744302300000.0,2025-04-10 16:25:00,1.292095,1.292275,1.291655,1.291725,191
GBPUSD,MINUTE,1744302360000.0,2025-04-10 16:26:00,1.291735,1.291885,1.291455,1.291775,198
GBPUSD,MINUTE,1744302420000.0,2025-04-10 16:27:00,1.291765,1.291895,1.291395,1.291475,167
GBPUSD,MINUTE,1744302480000.0,2025-04-10 16:28:00,1.291485,1.292055,1.2914349999999999,1.291955,182
GBPUSD,MINUTE,1744302540000.0,2025-04-10 16:29:00,1.291935,1.292065,1.291875,1.292015,176
GBPUSD,MINUTE,1744302600000.0,2025-04-10 16:30:00,1.292035,1.292245,1.291895,1.292155,211
GBPUSD,MINUTE,1744302660000.0,2025-04-10 16:31:00,1.292165,1.292665,1.292155,1.2926549999999999,171
GBPUSD,MINUTE,1744302720000.0,2025-04-10 16:32:00,1.292665,1.293145,1.292665,1.293145,179
GBPUSD,MINUTE,1744302780000.0,2025-04-10 16:33:00,1.293155,1.293285,1.292995,1.2931650000000001,134
GBPUSD,MINUTE,1744302840000.0,2025-04-10 16:34:00,1.293145,1.293625,1.293135,1.293565,157
GBPUSD,MINUTE,1744302900000.0,2025-04-10 16:35:00,1.293555,1.293785,1.2935349999999999,1.293665,133
GBPUSD,MINUTE,1744302960000.0,2025-04-10 16:36:00,1.293655,1.293755,1.293365,1.293595,142
GBPUSD,MINUTE,1744303020000.0,2025-04-10 16:37:00,1.293605,1.2937750000000001,1.293455,1.2937750000000001,152
GBPUSD,MINUTE,1744303080000.0,2025-04-10 16:38:00,1.293765,1.293955,1.293565,1.2938749999999999,175
GBPUSD,MINUTE,1744303140000.0,2025-04-10 16:39:00,1.293865,1.294065,1.293715,1.293965,180
GBPUSD,MINUTE,1744303200000.0,2025-04-10 16:40:00,1.293975,1.294175,1.293965,1.294065,123
GBPUSD,MINUTE,1744303260000.0,2025-04-10 16:41:00,1.294075,1.294075,1.293545,1.293695,182
GBPUSD,MINUTE,1744303320000.0,2025-04-10 16:42:00,1.293705,1.293845,1.293465,1.293635,161
GBPUSD,MINUTE,1744303380000.0,2025-04-10 16:43:00,1.293625,1.293885,1.293465,1.293475,201
GBPUSD,MINUTE,1744303440000.0,2025-04-10 16:44:00,1.293495,1.293725,1.293465,1.2935050000000001,170
GBPUSD,MINUTE,1744303500000.0,2025-04-10 16:45:00,1.293515,1.293965,1.293375,1.293965,190
GBPUSD,MINUTE,1744303560000.0,2025-04-10 16:46:00,1.293955,1.293985,1.293645,1.293705,121
GBPUSD,MINUTE,1744303620000.0,2025-04-10 16:47:00,1.293695,1.294365,1.293545,1.294075,206
GBPUSD,MINUTE,1744303680000.0,2025-04-10 16:48:00,1.294065,1.294265,1.293865,1.294255,155
GBPUSD,MINUTE,1744303740000.0,2025-04-10 16:49:00,1.294265,1.294295,1.294005,1.294215,173
GBPUSD,MINUTE,1744303800000.0,2025-04-10 16:50:00,1.294205,1.294445,1.293955,1.294435,219
GBPUSD,MINUTE,1744303860000.0,2025-04-10 16:51:00,1.294425,1.2944849999999999,1.293885,1.293965,228
GBPUSD,MINUTE,1744303920000.0,2025-04-10 16:52:00,1.293955,1.294375,1.293825,1.294265,197
GBPUSD,MINUTE,1744303980000.0,2025-04-10 16:53:00,1.294275,1.2946550000000001,1.294225,1.294625,245
GBPUSD,MINUTE,1744304040000.0,2025-04-10 16:54:00,1.294635,1.294925,1.294555,1.294775,251
GBPUSD,MINUTE,1744304100000.0,2025-04-10 16:55:00,1.294765,1.294955,1.2944849999999999,1.294945,221
GBPUSD,MINUTE,1744304160000.0,2025-04-10 16:56:00,1.294955,1.295225,1.294895,1.295065,225
GBPUSD,MINUTE,1744304220000.0,2025-04-10 16:57:00,1.295035,1.295775,1.294945,1.295635,240
GBPUSD,MINUTE,1744304280000.0,2025-04-10 16:58:00,1.295645,1.296025,1.295635,1.295895,251
GBPUSD,MINUTE,1744304340000.0,2025-04-10 16:59:00,1.295885,1.296035,1.295785,1.296015,244
GBPUSD,MINUTE,1744304400000.0,2025-04-10 17:00:00,1.296005,1.296275,1.295865,1.296275,309
GBPUSD,MINUTE,1744304460000.0,2025-04-10 17:01:00,1.296265,1.296645,1.296245,1.296635,238
GBPUSD,MINUTE,1744304520000.0,2025-04-10 17:02:00,1.296645,1.296955,1.296485,1.296505,258
GBPUSD,MINUTE,1744304580000.0,2025-04-10 17:03:00,1.296515,1.296515,1.295355,1.295625,269
GBPUSD,MINUTE,1744304640000.0,2025-04-10 17:04:00,1.295645,1.295655,1.295185,1.295535,258
GBPUSD,MINUTE,1744304700000.0,2025-04-10 17:05:00,1.295495,1.295855,1.295375,1.295845,235
GBPUSD,MINUTE,1744304760000.0,2025-04-10 17:06:00,1.295855,1.296365,1.295645,1.295745,233
GBPUSD,MINUTE,1744304820000.0,2025-04-10 17:07:00,1.295765,1.295885,1.2953350000000001,1.295665,207
GBPUSD,MINUTE,1744304880000.0,2025-04-10 17:08:00,1.295655,1.295655,1.295145,1.295345,225
GBPUSD,MINUTE,1744304940000.0,2025-04-10 17:09:00,1.295325,1.295505,1.295125,1.295495,228
GBPUSD,MINUTE,1744305000000.0,2025-04-10 17:10:00,1.295485,1.295765,1.295375,1.295665,211
GBPUSD,MINUTE,1744305060000.0,2025-04-10 17:11:00,1.295655,1.295695,1.295465,1.295665,170
GBPUSD,MINUTE,1744305120000.0,2025-04-10 17:12:00,1.295675,1.295765,1.295535,1.295745,169
GBPUSD,MINUTE,1744305180000.0,2025-04-10 17:13:00,1.295755,1.295765,1.295325,1.295345,180
GBPUSD,MINUTE,1744305240000.0,2025-04-10 17:14:00,1.2953350000000001,1.2953350000000001,1.294915,1.295075,189
GBPUSD,MINUTE,1744305300000.0,2025-04-10 17:15:00,1.295065,1.295255,1.294915,1.294915,187
GBPUSD,MINUTE,1744305360000.0,2025-04-10 17:16:00,1.294925,1.295065,1.294865,1.295055,182
GBPUSD,MINUTE,1744305420000.0,2025-04-10 17:17:00,1.295065,1.295395,1.295065,1.295355,186
GBPUSD,MINUTE,1744305480000.0,2025-04-10 17:18:00,1.2953649999999999,1.295665,1.295315,1.295565,143
